belegstelle\tHDNr
AAWW-1964-58 = AE 1965, 00262	HD018403
AArchSlov-1977-103 = AE 1978, 00612	HD004705
AArchSlov-1977-107 = AE 2003, 01299	HD045027
AArchSlov-1977-76	
AArchSlov-1977-77	
AArchSlov-1977-78 = ILLPRON 01796 = ILJug-02, 01188 = AE 1978, 00603	HD013950
AArchSlov-1977-78 = ILLPRON 01798 = AE 1978, 00604	HD013956
AArchSlov-1995-283
AArchSlov-2006-380	
AArchSlov-2006-382
AArchSlov-2006-383
AArchSlov-2006-386
AEA 1993/98, 00142 = AEA 2007, 00049 = AEA 2008, +00041 = AE 1993, 01249 = AE 2006, 00973	HD052956
AEA 1993/98, 00311 = AEA 1999/00, +00023 = AEA 2003, +00004 = AE 1997, 01212	HD049744
AEA 1993/98, 00311 = AEA 2003, +00004
AEA 1993/98, 00313 = AE 2002, 01097	HD042087
AEA 1993/98, 00314
AEA 1993/98, 00316
AEA 1993/98, 00317
AEA 1993/98, 00318
AEA 1993/98, 00319 = AEA 2008, +00029 = AEA 2011/12, +00008 = AE 1997, 01210 = AE 2002, +01090	HD049742
AEA 1993/98, 00320 = AEA 1999/00, +00142 = AE 1997, 01215	HD049747
AEA 1993/98, 00321
AEA 1993/98, 00322
AEA 1993/98, 00323
AEA 1993/98, 00324
AEA 1993/98, 00326
AEA 1993/98, 00327
AEA 1993/98, 00328
AEA 1993/98, 00329
AEA 1993/98, 00330 = AEA 1999/00, +00022 = AEA 2003, +00006 = AEA 2008, +00041 = AE 1994, 01333	HD051712
AEA 1993/98, 00331 = AEA 1999/00, +00070 = AEA 1999/00, +00139 = AEA 2001/02, +00009 = AEA 2001/02, +00039 = AEA 2001/02, +00069 = AEA 2003, +00028 = AEA 2005, +00069 = AEA 2008, +00048 = AE 1995, 01196 = AE 2005, +01137	HD050936
AEA 1993/98, 00331,2 = AEA 1999/00, +00068 = AEA 1999/00, +00070 = AEA 1999/00, +00140 = AEA 2001/02, +00009 = AEA 2001/02, +00039 = AEA 2001/02, +00069 = AEA 2003, +00028 = AEA 2008, +00048 = AE 1995, 01197 = AE 2005, +01137	HD050937
AEA 1993/98, 00331a
AEA 1993/98, 00331b
AEA 1993/98, 00333a = AE 1997, 01221b	HD049759
AEA 1993/98, 00333b = AE 1997, 01221c	HD049760
AEA 1993/98, 00334
AEA 1993/98, 00334 = AEA 1999/00, +00143 = AEA 2001/02, +00070 = AE 1997, 01222	HD049761
AEA 1993/98, 00335a
AEA 1993/98, 00335b
AEA 1993/98, 00338
AEA 1993/98, 00340
AEA 1993/98, 00341
AEA 1993/98, 00342
AEA 1993/98, 00344
AEA 1993/98, 00345
AEA 1993/98, 00346
AEA 1993/98, 00347
AEA 1993/98, 00348
AEA 1993/98, 00349 = AEA 1983/92, 00359 = AE 1992, 01346 = AE 1997, 01216	HD049753
AEA 1993/98, 00350 = AE 1997, 01217	HD049754
AEA 1993/98, 00351
AEA 1993/98, 00354	
AEA 1993/98, 00355
AEA 1993/98, 00356
AEA 1993/98, 00357
AEA 1993/98, 00358
AEA 1993/98, 00361a = AEA 2001/02, 00213 = AEA 2005, +00083
AEA 1993/98, 00361b = AEA 2001/02, 00213 = AEA 2005, +00083
AEA 1993/98, 00362a
AEA 1993/98, 00362b
AEA 1993/98, 00362c
AEA 1993/98, 00363
AEA 1993/98, 00365 = AE 2002, +01111
AEA 1993/98, 00366
AEA 1993/98, 00367
AEA 1993/98, 00368
AEA 1993/98, 00369
AEA 1993/98, 00370
AEA 1993/98, 00371
AEA 1993/98, 00372
AEA 1993/98, 00373
AEA 1993/98, 00374 = AE 2002, 01103	HD046256
AEA 1993/98, 00375
AEA 1993/98, 00376 = AE 1995, 01213	HD050964
AEA 1993/98, 00377
AEA 1993/98, 00378
AEA 1993/98, 00379
AEA 1993/98, 00381 = AEA 1999/00, +00146 = AEA 2005, +00084 = AEA 2006, +00025 = AE 2002, 01105 = AE 2005, 01174	HD046258
AEA 1993/98, 00382
AEA 1993/98, 00383 = AE 2002, 01104	HD046257
AEA 1993/98, 00384
AEA 1993/98, 00385 = AEA 2001/02, +00046 = AE 1998, 01019	HD049103
AEA 1993/98, 00386
AEA 1999/00, 00188 = AEA 2001/02, +00039 = AEA 2008, +00041 = AE 2001, 01588	HD047119
AEA 1999/00, 00189 = AE 2001, 01582	HD047114
AEA 1999/00, 00190 = AEA 2003, 00063 = AE 2001, 01583	HD047115
AEA 1999/00, 00191
AEA 1999/00, 00192 = AE 1998, 01018	HD049102
AEA 1999/00, 00193
AEA 1999/00, 00194 = AE 2001, 01589	HD047120
AEA 1999/00, 00194a
AEA 1999/00, 00194b
AEA 1999/00, 00196 = AEA 2001/02, +00009 = AEA 2001/02, +00039 = AEA 2004, +00011 = AEA 2007, +00023 = AEA 2007, +00069 = AEA 2008, +00021 = AE 1999, 01197 = AE 2002, +01094 = AE 2004, +01070	HD048553
AEA 1999/00, 00197 = AEA 2001/02, +00039 = AEA 2004, +00011 = AE 2001, 01587 = AE 2004, +01070	HD047118
AEA 1999/00, 00199a
AEA 1999/00, 00199b
AEA 1999/00, 00199c
AEA 1999/00, 00199d
AEA 1999/00, 00199e
AEA 1999/00, 00199f
AEA 1999/00, 00200	
AEA 1999/00, 00204
AEA 1999/00, 00205b
AEA 1999/00, 00205d
AEA 1999/00, 00207 = AEA 2001/02, +00009 = AEA 2003, +00030 = AEA 2007, +00084 = AEA 2008, +00055 = AE 2001, 01600 = AE 2003, +01321	HD047177
AEA 1999/00, 00209
AEA 1999/00, 00210 = AEA 2006, +00012 = AEA 2008, +00061
AEA 1999/00, 00211a
AEA 1999/00, 00211b
AEA 1999/00, 00212a
AEA 1999/00, 00212b
AEA 1999/00, 00212c
AEA 1999/00, 00212d
AEA 1999/00, 00212e
AEA 1999/00, 00213a
AEA 1999/00, 00213b
AEA 1999/00, 00213c
AEA 1999/00, 00214
AEA 1999/00, 00215
AEA 1999/00, 00217a
AEA 1999/00, 00217b
AEA 1999/00, 00218a1
AEA 1999/00, 00218a2
AEA 1999/00, 00218b1
AEA 1999/00, 00218b2
AEA 1999/00, 00218c
AEA 1999/00, 00218d
AEA 1999/00, 00219
AEA 1999/00, 00220a
AEA 1999/00, 00220b
AEA 1999/00, 00220c
AEA 1999/00, 00221a
AEA 1999/00, 00221b
AEA 1999/00, 00221c
AEA 1999/00, 00221d
AEA 1999/00, 00221e
AEA 1999/00, 00221f
AEA 1999/00, 00222 = AE 1956, 00070	HD017943
AEA 1999/00, 00223 = AE 1999, 01201	HD048557
AEA 1999/00, 00224a = AEA 2008, +00028
AEA 1999/00, 00224b = AEA 2008, +00028
AEA 1999/00, 00224c = AEA 2008, +00028
AEA 1999/00, 00225
AEA 1999/00, 00226 = AE 1999, 01205	HD048561
AEA 1999/00, 00227a = AEA 2008, +00028
AEA 1999/00, 00227b = AEA 2008, +00028
AEA 1999/00, 00227c = AE 2008, +00028
AEA 1999/00, 00227d = AEA 2008, +00028
AEA 1999/00, 00227e = AEA 2008, +00028
AEA 1999/00, 00227f = AEA 2008, +00028
AEA 1999/00, 00227g = AEA 2008, +00028
AEA 1999/00, 00227h = AEA 2008, +00028
AEA 1999/00, 00227i = AEA 2008, +00028
AEA 1999/00, 00227j = AEA 2008, +00028
AEA 1999/00, 00227k = AEA 2008, +00028
AEA 1999/00, 00227l = AEA 2008, +00028
AEA 1999/00, 00227m = AEA 2008, +00028
AEA 1999/00, 00227n = AEA 2008, +00028
AEA 1999/00, 00227o = AEA 2008, +00028
AEA 1999/00, 00227p = AEA 2008, +00028
AEA 1999/00, 00227q = AEA 2008, +00028
AEA 1999/00, 00227r = AEA 2008, +00028
AEA 1999/00, 00227s = AEA 2008, +00028
AEA 1999/00, 00227t = AEA 2008, +00028
AEA 1999/00, 00227u = AEA 2008, +00028
AEA 1999/00, 00227v = AEA 2008, +00028
AEA 1999/00, 00227w = AEA 2008, +00028
AEA 1999/00, 00227x = AEA 2008, +00028
AEA 1999/00, 00227y = AEA 2008, +00028
AEA 1999/00, 00227z = AEA 2008, +00028
AEA 1999/00, 00227za = AEA 2008, +00028
AEA 1999/00, 00227zb = AEA 2008, +00028
AEA 1999/00, 00228 = AE 2001, 01595	HD047129
AEA 1999/00, 00229a
AEA 1999/00, 00229b
AEA 1999/00, 00229c
AEA 1999/00, 00230 = AEA 2009, +00010 = AE 1999, 01203	HD048560
AEA 1999/00, 00231 = AE 1999, 01206	HD048562
AEA 1999/00, 00232
AEA 1999/00, 00234 = AE 1999, 01200	HD048556
AEA 1999/00, 00235 = AE 2001, 01596	HD047130
AEA 1999/00, 00236 = AE 1999, 01202	HD048558
AEA 1999/00, 00237
AEA 1999/00, 00238
AEA 2001/02, +00008 = AE 1957, 00108 = AE 1969/70, 00454	HD057782
AEA 2001/02, +00039 = AE 1974, 00468	HD011247
AEA 2001/02, 00089
AEA 2001/02, 00108
AEA 2001/02, 00109
AEA 2001/02, 00110 = AEA 2008, +00024	
AEA 2001/02, 00111
AEA 2001/02, 00113f
AEA 2001/02, 00114
AEA 2001/02, 00115a
AEA 2001/02, 00115b
AEA 2001/02, 00116
AEA 2001/02, 00117 = AEA 2004, +00011 = AEA 2007, +00086 = AE 2004, 01072	HD052203
AEA 2001/02, 00118
AEA 2001/02, 00118 = AE 2001, 01584	HD047116
AEA 2001/02, 00119 = AE 2001, 01585	HD047117
AEA 2001/02, 00120 = AEA 2008, +00045 = AEA 2010, +00004
AEA 2001/02, 00121 = AEA 2004, +00011 = AEA 2007, +00087 = AE 2004, 01070	HD052201
AEA 2001/02, 00121b = AEA 2004, 00068 = AEA 2007, +00110 = AEA 2008, +00029 = AE 2004, 01076	HD052207
AEA 2001/02, 00121c = AEA 2004, 00066 = AEA 2007, +00113 = AEA 2008, +00029 = AE 2004, 01074	HD052205
AEA 2001/02, 00121d = AEA 2004, 00070 = AEA 2007, +00117 = AEA 2008, +00029 = AE 2004, 01078	HD052209
AEA 2001/02, 00121e = AEA 2004, +00011 = AEA 2004, 00069 = AEA 2007, +00116 = AEA 2008, +00029 = AE 2004, 01077	HD052208
AEA 2001/02, 00122 = AEA 2005, 00115 = AEA 2007, +00006 = AEA 2008, +00005 = AEA 2008, +00029 = AE 2005, 01158	HD054676
AEA 2001/02, 00124a
AEA 2001/02, 00124b
AEA 2001/02, 00124c
AEA 2001/02, 00124d
AEA 2001/02, 00126
AEA 2001/02, 00127 = AEA 2004, 00060 = AEA 2007, +00108 = AEA 2008, +00055 = AE 2003, 01319	HD045370
AEA 2001/02, 00128 = AE 2001, 01601	HD047134
AEA 2001/02, 00130b
AEA 2001/02, 00131
AEA 2001/02, 00132
AEA 2001/02, 00133a
AEA 2001/02, 00133b
AEA 2001/02, 00134	
AEA 2001/02, 00135
AEA 2003, 00064 = AEA 2007, +00102 = AE 2003, 01295	HD045387
AEA 2003, 00065
AEA 2004, +00019 = AE 1954, 00100	HD018230
AEA 2004, 00061 = AEA 2005, +00017 = AEA 2007, +00109 = AE 2004, 01083	HD052213
AEA 2004, 00063 = AEA 2007, +00111 = AE 2004, 01071	HD052202
AEA 2004, 00064 = AE 2004, +01070
AEA 2004, 00065 = AEA 2007, +00112 = AEA 2008, +00029 = AE 2004, 01073	HD052204
AEA 2004, 00067 = AEA 2007, +00114 = AEA 2008, +00029 = AEA 2008, +00043 = AE 2004, 01075	HD052206
AEA 2004, 00071
AEA 2004, 00072
AEA 2004, 00073 = AEA 2007, +00118 = AE 2004, 01079	HD052210
AEA 2004, 00074 = AE 2004, +01070
AEA 2004, 00075
AEA 2004, 00076 = AEA 2005, +00039 = AEA 2007, +00119 = AE 2004, 01093	HD052217
AEA 2004, 00078 = AEA 2007, +00121 = AE 2004, 01088	HD052216
AEA 2004, 00079
AEA 2004, 00080
AEA 2005, 00003
AEA 2005, 00107 = AEA 2007, 00122 = AEA 2008, +00024 = AE 2005, 01168	HD054690
AEA 2005, 00108
AEA 2005, 00110
AEA 2005, 00111 = AEA 2007, +00011 = AE 2005, 01165	HD054681
AEA 2005, 00112 = AEA 2007, +00006 = AEA 2008, +00005 = AEA 2008, +00029 = AEA 2011/12, +00004 = AE 2005, 01159	HD054677
AEA 2005, 00113 = AEA 2008, +00029 = AE 2005, 01160	HD054678
AEA 2005, 00114 = AEA 2008, +00029 = AE 2005, 01157	HD054675
AEA 2005, 00116
AEA 2005, 00117 = AEA 2007, +00126 = AE 2004, 01068	HD052200
AEA 2005, 00118 = AEA 2007, +00127 = AEA 2008, +00029 = AEA 2011/12, +00008 = AE 2004, 01069	HD042496
AEA 2005, 00119 = AE 2005, 01178	HD026562
AEA 2005, 00120 = AEA 2008, +00045 = AE 2005, 01177	HD054689
AEA 2005, 00121 = AEA 2007, +00063 = AE 2005, 01176	HD054688
AEA 2005, 00122
AEA 2005, 00123
AEA 2005, 00124a = AE 2005, +01181
